group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.os.freebsd.stable,209,10450,en,94.7,94.7,2002,2018,5
gmane.linux.altlinux.sisyphus,208,10400,ru,91.8,1.4,2004,2019,6
gmane.mail.postfix.user,207,10350,en,99.0,99.0,2002,2004,3
gmane.comp.kde.amarok.bugs,206,10300,en,80.6,80.6,2005,2019,6
gmane.comp.version-control.subversion.user,206,10300,en,99.0,99.0,2004,2016,2
gmane.linux.ubuntu.devel.kernel.general,206,10300,en,96.1,96.1,2006,2019,4
gmane.mail.spam.spamcop.user,206,10300,en,99.0,99.0,2002,2006,3
gmane.comp.openoffice.general.german,204,10200,de,99.5,0.0,2002,2012,2
gmane.linux.debian.devel.gnome.general,204,10200,en,93.6,93.6,2007,2019,9
gmane.network.openvswitch.devel,204,10200,en,98.0,98.0,2011,2019,5
gmane.comp.lang.perl.beginners,203,10150,en,99.5,99.5,2002,2018,2
gmane.comp.python.wxpython,203,10150,en,96.1,96.1,2004,2019,8
gmane.comp.emulators.wine.user,202,10100,en,97.0,97.0,2002,2015,6
gmane.comp.mathematics.sage.devel,201,10050,en,99.0,99.0,2006,2019,3
gmane.games.flightgear.devel,201,10050,en,98.5,98.5,2002,2019,4
gmane.science.biology.gromacs.user,201,10050,en,99.0,99.0,2006,2019,3
gmane.comp.python.tutor,200,10000,en,99.5,99.5,2002,2019,2
gmane.comp.tex.context,200,10000,en,95.0,95.0,1998,2017,8
gmane.comp.kde.devel.plasma,199,9950,en,95.0,95.0,2008,2019,7
gmane.linux.mageia.bugs,199,9950,en,81.4,81.4,2011,2019,8
gmane.comp.apache.sling.devel,198,9900,en,72.7,72.7,2007,2019,7
gmane.comp.jakarta.lucene.hadoop.devel,198,9900,en,85.4,85.4,2006,2019,4
gmane.comp.apache.maven.issues,197,9850,en,73.1,73.1,2009,2019,4
gmane.comp.python.pypy.cvs,197,9850,en,96.4,96.4,2006,2018,6
gmane.comp.web.chromium.devel,197,9850,en,99.0,99.0,2008,2019,3
gmane.mail.exim.user,197,9850,en,99.0,99.0,2002,2017,3
gmane.science.economics.progressive-economists,197,9850,en,96.4,96.4,2003,2018,2
gmane.comp.java.geronimo.devel,196,9800,en,83.7,83.7,2003,2019,9
gmane.comp.lang.d.bugs,196,9800,en,74.5,74.5,2008,2019,7
gmane.org.hackerspaces.london,196,9800,en,95.9,95.9,2011,2019,4
gmane.comp.ide.lazarus.general,195,9750,en,97.9,97.9,2005,2019,4
gmane.network.samba.internals,195,9750,en,100.0,100.0,2002,2017,1
gmane.os.freebsd.bugs,195,9750,en,82.6,82.6,2002,2019,7
gmane.linux.altlinux.devel,194,9700,ru,90.2,2.6,2004,2019,7
gmane.comp.graphics.openscenegraph.user,193,9650,en,99.0,99.0,2006,2019,3
gmane.linux.mageia.changelog,193,9650,en,89.1,89.1,2011,2019,10
gmane.mail.imap.dovecot,192,9600,en,95.3,95.3,2003,2018,9
gmane.text.xml.xsl.general.mulberrytech,192,9600,en,99.5,99.5,2002,2019,2
gmane.comp.lang.d.learn,190,9500,en,97.9,97.9,2009,2019,4
gmane.comp.php.cvs.general,189,9450,en,77.2,77.2,2002,2019,6
gmane.comp.telephony.freeswitch.user,189,9450,en,99.5,99.5,2008,2018,2
gmane.editors.vim.devel,189,9450,en,98.9,98.9,2002,2019,3
